station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
WTZR,IGS,1,0,0,0,0,-96.5,75.1,15.8,123.30000000000001,23.0,0,Неопределено
WSRT,IGS,1,0,0,0,0,11.1,2.1,-12.7,17.0,22.0,0,Неопределено
WHIT,IGS,1,0,0,0,0,-1.9,10.9,-0.7,11.1,28.0,0,Неопределено
WIND,IGS,1,0,0,0,0,-4.1000000000000005,4.3,-4.3,7.3,24.0,0,Неопределено
WARN,IGS,1,0,0,0,0,8.8,0.7,5.8999999999999995,10.6,28.0,0,Неопределено
WILL,IGS,1,0,0,0,0,-1.1,4.1000000000000005,-10.0,10.9,26.0,0,Неопределено
WROC,IGS,1,0,0,0,0,3.8,6.8,-11.0,13.5,23.0,0,Неопределено
WTZZ,IGS,1,0,0,0,0,3.3,4.0,-10.8,11.9,25.0,0,Неопределено
ZECK,IGS,1,0,0,0,0,0.7,2.6,-17.3,17.5,22.0,0,Неопределено
YELL,IGS,1,0,0,0,0,-3.4,0.7,-3.1,4.7,28.0,0,Неопределено
YAR3,IGS,1,0,0,0,0,0.8,-2.3,3.6,4.4,25.0,0,Неопределено
YARR,IGS,1,0,0,0,0,1.4,-3.2,2.5,4.3,26.0,0,Неопределено
YKRO,IGS,1,0,0,0,0,8.6,1.4,-5.1000000000000005,10.1,25.0,0,Неопределено
ZIM3,IGS,1,0,0,0,0,5.1000000000000005,4.6,-9.4,11.6,24.0,0,Неопределено
ZIM2,IGS,1,0,0,0,0,4.2,6.7,-7.8,11.1,24.0,0,Неопределено
