station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
VACS,33,-0.000124,0.003623,0.000621,0.006124,0.002012,0.013147,0.014861,0.008243,0.012448,23.545455,187.909091,1.0,0.008243,Пониженной точности (12-20 мм)
VALD,32,0.006809,0.002799,0.000484,0.003078,0.016903,0.004307,0.01915,0.004473,0.018638,14.375,87.890625,1.0,0.004473,Пониженной точности (12-20 мм)
VILL,35,0.006157,0.002023,0.007114,0.00481,-0.0047,0.006436,0.013322,0.004146,0.01268,24.885714,170.345714,1.0,0.004146,Пониженной точности (12-20 мм)
VIS0,34,0.001932,0.004167,0.004926,0.003909,-0.003206,0.005317,0.009885,0.004228,0.008965,24.941176,185.361765,1.0,0.004228,Средней точности (8-12 мм)
VOIM,7,0.000829,0.003815,0.005471,0.002752,0.003614,0.010994,0.012901,0.005308,0.011929,23.714286,163.028571,1.0,0.005308,Пониженной точности (12-20 мм)
WAB2,32,0.002447,0.00424,-0.000622,0.006606,-0.004256,0.008776,0.012583,0.00503,0.011569,16.5625,49.565625,0.9375,0.00503,Пониженной точности (12-20 мм)
WARN,35,0.002523,0.003477,0.002637,0.004336,-0.00174,0.007049,0.009716,0.004691,0.008546,26.285714,202.44,1.0,0.004691,Средней точности (8-12 мм)
WHIT,32,0.003547,0.002643,0.002006,0.003675,0.008381,0.005541,0.011686,0.004273,0.010903,26.4375,198.8375,1.0,0.004273,Средней точности (8-12 мм)
WILL,35,0.00074,0.0027,0.002494,0.003493,-0.001129,0.011875,0.012813,0.006513,0.011089,25.085714,187.057143,1.0,0.006513,Пониженной точности (12-20 мм)
WIND,33,-0.002721,0.003317,0.000382,0.00452,-0.008012,0.006806,0.012121,0.005268,0.010955,26.636364,197.484848,1.0,0.005268,Пониженной точности (12-20 мм)
WROC,35,0.003406,0.003951,0.003766,0.004192,-0.007583,0.006619,0.012576,0.005299,0.01144,23.514286,181.271429,0.971429,0.005299,Пониженной точности (12-20 мм)
WSRT,31,0.003555,0.004179,0.002816,0.004813,-0.006423,0.007795,0.012644,0.005773,0.011297,24.16129,172.022581,0.967742,0.005773,Пониженной точности (12-20 мм)
WTZR,34,0.001868,0.003721,0.003647,0.004539,-0.006556,0.007112,0.011951,0.005318,0.010741,23.5,180.75,1.0,0.005318,Средней точности (8-12 мм)
WTZZ,34,0.002138,0.00356,0.002409,0.004592,-0.007268,0.007253,0.012109,0.005223,0.010962,25.764706,205.626471,1.0,0.005223,Пониженной точности (12-20 мм)
WUH2,34,-0.000432,0.002872,0.000988,0.004822,-0.026512,0.009562,0.02871,0.009715,0.027068,19.441176,146.958824,1.0,0.009715,Низкой точности (20-50 мм)
WUHN,26,0.000781,0.002686,0.003438,0.006537,0.000712,0.013051,0.01499,0.005146,0.014115,4.115385,11.788462,0.0,0.005146,Пониженной точности (12-20 мм)
YAR2,33,-0.006561,0.006126,-0.004045,0.004958,-0.002742,0.008969,0.014326,0.006378,0.012876,21.818182,140.545455,0.939394,0.006378,Пониженной точности (12-20 мм)
YAR3,33,-0.006567,0.006715,-0.004667,0.006501,0.006152,0.008945,0.016285,0.006742,0.01487,23.515152,177.754545,1.0,0.006742,Пониженной точности (12-20 мм)
YARR,31,-0.006371,0.007018,-0.005048,0.004718,0.004771,0.008728,0.015214,0.005912,0.014058,23.483871,162.409677,0.870968,0.005912,Пониженной точности (12-20 мм)
YEBE,32,0.002469,0.001589,0.003269,0.003446,-0.006566,0.00558,0.01022,0.003554,0.009603,21.71875,144.85,1.0,0.003554,Средней точности (8-12 мм)
YEL2,33,0.005897,0.002481,0.005673,0.003254,0.017085,0.009134,0.021352,0.006879,0.020248,26.787879,209.318182,1.0,0.006879,Низкой точности (20-50 мм)
YELL,34,0.002803,0.002923,0.004671,0.003742,0.007976,0.008188,0.013428,0.005662,0.012215,24.558824,183.661765,1.0,0.005662,Пониженной точности (12-20 мм)
